,NAME,INDEX,VALUATION AVG,TOTAL FUNDING USD,FUNDING FROM EARLY STAGES,FUNDING FROM EARLY STAGES > 2M,FUNDING UP UNTIL VALUATION DATE,AVG REVENUE,AVG REVENUE GROWTH,AVG EMPLOYEE GROWTH,VALUATION TO FUNDING RATIO,IS_MARKETING_INDUSTRY,IS_HEALTH_INDUSTRY,IS_ENTERPRISE SOFTWARE_INDUSTRY,IS_FINTECH_INDUSTRY,IS_FOOD_INDUSTRY,IS_ENERGY_INDUSTRY,IS_HOME LIVING_INDUSTRY,IS_TRANSPORTATION_INDUSTRY,IS_MEDIA_INDUSTRY,REVENUE MODEL MARKETPLACE & ECOMMERCE,REVENUE MODEL MANUFACTURING,REVENUE MODEL SAAS,HQ STOCKHOLM,HQ OSLO,HQ HELSINKI,HQ COPENHAGEN
1,Disior Oy,1.0,8.5,2.5960490751699328,2.5960490751699328,1,2.5960490751699328,375000.0,1.3572088082974532,0.0,3.2742062086956523,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2,Furhat Robotics,2.0,12.5,17.608920774090365,6.108920774090365,1,2.556435849460216,1324250.0,1.9558053391167385,1.0873803730028921,4.889620055453118,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
16,Campanyon,16.0,7.5,2.293075483806478,2.293075483806478,1,2.293075483806478,0.0,0.0,0.0,3.2707165782218777,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
17,Hedia,17.0,15.0,7.138628875726793,1.4775199391377085,0,7.138628875726793,0.0,0.0,1.3572417850765923,2.1012438468406627,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
19,Checkin.com,19.0,100.0,4.324334730777417,4.324334730777417,1,4.324334730777417,0.0,0.0,1.1281521496355325,23.12494435,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
22,Real Heart,22.0,7.5,1.714697157460365,1.714697157460365,0,1.693075483806478,42500.0,1.912931182772389,1.7888543819998317,4.4298084,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,Clever Compliance,27.0,33.0,0.3243251048083063,0.3243251048083063,0,0.3243251048083063,0.0,0.0,0.0,101.74975513999999,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
32,Uniti,32.0,3.2,5.35044338116871,5.35044338116871,1,5.35044338116871,552000.0,3.9685026299204984,0.0,0.5980812751449052,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
50,Gamifiera,50.0,6.5,1.3,1.3,0,1.3,0.0,0.0,0.8944271909999159,5.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
54,Ninadata,54.0,8.85,1.997829070891644,1.997829070891644,0,1.997829070891644,0.0,0.0,0.0,4.4298084,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
76,Pibox,76.0,2.0,0.5425743397840864,0.5425743397840864,0,0.5425743397840864,48333.333333333336,1.3416407864998738,0.0,3.68613082733674,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
83,Tebrito,83.0,10.0,3.4877354966413447,3.4877354966413447,1,3.4877354966413447,0.0,0.0,0.0,2.8671899029126213,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
84,Mobal,84.0,10.0,2.2574339784086375,2.2574339784086375,1,2.2574339784086375,0.0,0.0,0.0,4.4298084,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
88,Hopp,88.0,14.0,2.8,2.8,1,2.8,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
89,Session (formerly Auddly),89.0,60.0,5.450978939505117,5.450978939505117,1,5.450978939505117,160250.0,0.6408240481696994,1.0,11.007197177952639,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
91,Peas of Heaven,91.0,13.5,3.0475358708516604,3.0475358708516604,1,3.0475358708516604,0.0,0.0,0.0,4.4298084,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
97,CarbonCloud,97.0,50.0,1.0810836826943542,1.0810836826943542,0,1.0810836826943542,0.0,0.0,0.0,46.2498887,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
101,United Robots,101.0,7.5,1.693075483806478,1.693075483806478,0,1.693075483806478,980000.0,1.6068568378893036,1.3867504905630728,4.4298084,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
105,Iconicchain,105.0,5.0,1.1987169892043188,1.1987169892043188,0,1.1987169892043188,213333.33333333334,2.23606797749979,0.0,4.17112633342995,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
112,Consigli,112.0,9.5,2.1445622794882055,2.1445622794882055,1,2.1445622794882055,0.0,0.0,0.0,4.4298084,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
113,Mjuk,113.0,7.5,1.693075483806478,1.693075483806478,0,1.693075483806478,0.0,0.0,0.0,4.4298084,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
117,Alvar Pet,117.0,5.0,3.937438137504999,3.937438137504999,1,1.6687169892043188,0.0,0.0,0.0,2.9963139539821615,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
122,eniferBio,122.0,5.0,2.4831773762495013,2.4831773762495013,1,1.1287169892043187,0.0,0.0,1.5275252316519468,4.4298084,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
126,SpinDrive,126.0,8.0,3.1039717203118764,3.1039717203118764,1,3.1039717203118764,104000.0,2.340347319320716,0.0,2.577343069090909,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
128,Sharpfin,128.0,5.4,3.2394177590163946,3.2394177590163946,1,3.2394177590163946,234200.0,1.5146475955500731,1.2574334296829355,1.6669662271777004,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
129,Rokoko,129.0,15.0,10.9,7.9,1,7.9,0.0,0.0,1.471691329220834,1.8987341772151898,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
132,ApoGlyx,132.0,30.0,0.6486502096166126,0.6486502096166126,0,0.6486502096166126,125000.0,1.205071132087615,0.0,46.2498887,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
138,GamerPay,138.0,10.0,2.0,2.0,0,2.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
145,Loop54,145.0,3.0,0.6,0.6,0,0.6,2000000.0,1.4422495703074083,0.0,5.0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
147,Sprint Bioscience,147.0,112.5,8.136835946039776,5.704397659977479,1,2.432438286062297,3228000.0,0.8902047574835567,1.0657567166523305,46.24988870000001,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
149,Cogo,149.0,5.0,21.128716989204317,21.128716989204317,1,1.1287169892043187,0.0,0.0,0.0,4.4298084,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
158,Lace Laboratory,158.0,9.0,2.0316905805677736,2.0316905805677736,1,2.0316905805677736,826666.6666666666,5.0,0.0,4.4298084,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
161,Flow - Meditation for modern life,161.0,2.5,1.211091703198721,1.211091703198721,0,1.0869328343862459,0.0,0.0,0.0,2.300050123531014,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
163,Sensative,163.0,14.0,11.907521270923525,3.125478551140791,1,11.907521270923525,1746200.0,1.4233148136136529,1.1084094137869043,1.1757274819391683,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
164,Polar Night Energy,164.0,2.5,0.5643584946021594,0.5643584946021594,0,0.5643584946021594,0.0,0.0,0.0,4.4298084,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
175,Freeed,175.0,4.5,1.0158452902838868,1.0158452902838868,0,1.0158452902838868,0.0,0.0,0.0,4.4298084,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
187,Brain Nordic,187.0,22.0,0.9729753144249187,0.9729753144249187,0,0.9729753144249187,0.0,0.0,0.0,22.61105669777778,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
200,LastObject,200.0,90.0,3.452328435862118,3.452328435862118,1,3.452328435862118,0.0,0.0,0.0,26.06936207606943,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
204,Debricked,204.0,110.0,4.897309082605425,4.897309082605425,1,4.897309082605425,175000.0,0.0,1.1978241142570356,22.4613146004415,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
207,Din Psykolog,207.0,26.0,0.06,0.06,0,0.06,0.0,0.0,0.0,433.33333333333337,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
217,Huuva,217.0,6.076615,1.22,1.22,0,1.22,0.0,0.0,0.0,4.980831967213115,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
220,GLOBHE,220.0,53.0,0.756758577886048,0.756758577886048,0,0.756758577886048,171800.0,2.7176257024763295,2.23606797749979,70.03554574571429,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
